Type,Timestamp,ProcessStepName,Parameter,Ignore Tolerance,Pump To Pressure,Pump Pressure,Step Time,Pump Time,Pressure (mTorr),Position (Deg),HF Power (W),HF Reflected Power (W),Lower Magnitude (%),Lower Phase (%),DC Bias (V),CHF3 100 (sccm),Ar 100 (sccm),O2 50 (sccm),CF4 50 (sccm),SF6 100 (sccm),Temp (C),Chiller Temp (C),Endpoint State,Endpoint,Signal Smooth Time (Secs),Endpoint Closed Time (Secs),Endpoint Type,Endpoint Threshold Type,Endpoint Normalisation Time (Secs),Endpoint Normalisation (percent),Endpoint OverEtch Time(Secs),Endpoint Threshold (percent),Endpoint Capture Time (Secs),Endpoint OverEtch (percent),Etch Depth,Refractive Index,Laser Wavelength,Etch Depth[1],Etch Rate,Derivative Smooth Time (Secs),Derivative Gain,Endpoint Type[1],Wavelength 1 (%),Wavelength 2 (%),Wavelength 3 (%),Integration Time (ms),Sample Average,Boxcar Width,Process State,Elapsed Time,taskID,BatchID,LotID,recipe,UID,user
Data, 2024/06/24 19:40:18.000,Chamber Clean,Readbacks,,,7.50E-09,09:55.0,00:00.0,99.8,11.8,253,6,73.3,32.1,384.4,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,15.059,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:19.000,Chamber Clean,Readbacks,,,7.50E-09,09:54.0,00:00.0,99.9,11.6,253,5,74.5,32,385.9,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,16.105,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:20.000,Chamber Clean,Readbacks,,,7.50E-09,09:53.0,00:00.0,100.1,11.6,252,4,75.8,31.9,386.9,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,17.118,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:21.000,Chamber Clean,Readbacks,,,7.50E-09,09:52.0,00:00.0,100.1,11.6,253,4,76.5,31.9,388.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,18.147,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:22.000,Chamber Clean,Readbacks,,,7.50E-09,09:51.0,00:00.0,100,11.6,253,3,77.2,31.9,388.7,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,19.195,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:23.000,Chamber Clean,Readbacks,,,7.50E-09,09:50.0,00:00.0,99.9,11.6,253,3,77.8,31.8,389.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,20.222,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:24.000,Chamber Clean,Readbacks,,,7.50E-09,09:49.0,00:00.0,99.9,11.6,253,3,78.1,31.8,389.6,0,0,50,0,0,,20,OFF,3.1,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,21.238,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:25.000,Chamber Clean,Readbacks,,,7.50E-09,09:48.0,00:00.0,100,11.6,253,5,78.4,31.8,390.2,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,22.265,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:26.000,Chamber Clean,Readbacks,,,7.50E-09,09:47.0,00:00.0,100.1,11.6,253,3,79.1,31.9,390.5,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,23.28,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:27.000,Chamber Clean,Readbacks,,,7.50E-09,09:46.0,00:00.0,100.1,11.6,253,3,79.3,32,390.7,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,24.309,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:28.000,Chamber Clean,Readbacks,,,7.50E-09,09:45.0,00:00.0,100,11.6,253,2,79.4,32,391.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,25.338,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:29.000,Chamber Clean,Readbacks,,,7.50E-09,09:44.0,00:00.0,100,11.6,253,2,79.4,32,391.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,26.368,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:30.000,Chamber Clean,Readbacks,,,7.50E-09,09:43.0,00:00.0,99.9,11.6,253,2,79.4,32,391,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,27.397,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:31.000,Chamber Clean,Readbacks,,,7.50E-09,09:42.0,00:00.0,99.9,11.6,253,2,79.4,32,391.2,0,0,50,0,0,,20,OFF,3.1,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,28.459,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:32.000,Chamber Clean,Readbacks,,,7.50E-09,09:41.0,00:00.0,100,11.6,253,2,79.4,32,391.6,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,29.504,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:33.000,Chamber Clean,Readbacks,,,7.50E-09,09:40.0,00:00.0,100.1,11.6,253,2,79.4,32,392.2,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,30.534,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:34.000,Chamber Clean,Readbacks,,,7.50E-09,09:39.0,00:00.0,99.8,11.7,253,2,79.4,32,391.6,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,31.562,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:35.000,Chamber Clean,Readbacks,,,7.50E-09,09:38.0,00:00.0,99.9,11.7,253,2,79.4,32,391.9,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,32.592,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:36.000,Chamber Clean,Readbacks,,,7.50E-09,09:37.0,00:00.0,99.9,11.5,253,2,79.4,32,391.4,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,33.625,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:37.000,Chamber Clean,Readbacks,,,7.50E-09,09:36.0,00:00.0,100,11.6,253,2,79.4,32,392.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,34.668,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:38.000,Chamber Clean,Readbacks,,,7.50E-09,09:35.0,00:00.0,100,11.6,253,2,79.4,32,391.9,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,35.696,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:39.000,Chamber Clean,Readbacks,,,7.50E-09,09:34.0,00:00.0,100,11.6,253,2,79.4,32,392.3,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,36.713,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:40.000,Chamber Clean,Readbacks,,,7.50E-09,09:33.0,00:00.0,100,11.6,253,3,79.5,32,392.7,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,37.74,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:41.000,Chamber Clean,Readbacks,,,7.50E-09,09:32.0,00:00.0,100,11.6,253,2,79.5,32,392.4,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,38.754,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:42.000,Chamber Clean,Readbacks,,,7.50E-09,09:31.0,00:00.0,100,11.6,253,2,79.5,32,392.3,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,39.783,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:43.000,Chamber Clean,Readbacks,,,7.50E-09,09:30.0,00:00.0,100.1,11.6,253,2,79.5,32,392.9,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,40.829,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:44.000,Chamber Clean,Readbacks,,,7.50E-09,09:28.0,00:00.0,99.9,11.6,253,2,79.5,32,392.5,0,0,50,0,0,,20,OFF,3.1,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,41.843,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:45.000,Chamber Clean,Readbacks,,,7.50E-09,09:28.0,00:00.0,100,11.6,253,2,79.5,32,392.2,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,42.889,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:46.000,Chamber Clean,Readbacks,,,7.50E-09,09:26.0,00:00.0,99.9,11.6,253,2,79.6,32,392.5,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,43.904,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:47.000,Chamber Clean,Readbacks,,,7.50E-09,09:25.0,00:00.0,99.9,11.6,253,2,79.6,32,392.6,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,44.934,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:48.000,Chamber Clean,Readbacks,,,7.50E-09,09:24.0,00:00.0,100.1,11.6,253,2,79.6,32,392.6,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,45.945,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:49.000,Chamber Clean,Readbacks,,,7.50E-09,09:23.0,00:00.0,99.9,11.6,253,2,79.6,32,393.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,46.962,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:50.000,Chamber Clean,Readbacks,,,7.50E-09,09:22.0,00:00.0,100.1,11.6,253,2,79.6,32,392.9,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,48.005,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:51.000,Chamber Clean,Readbacks,,,7.50E-09,09:21.0,00:00.0,100,11.6,253,2,79.5,32,393,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,49.037,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:52.000,Chamber Clean,Readbacks,,,7.50E-09,09:20.0,00:00.0,100.1,11.6,253,2,79.5,32,392.9,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,50.065,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:53.000,Chamber Clean,Readbacks,,,7.50E-09,09:19.0,00:00.0,100.1,11.6,253,2,79.6,32,392.8,0,0,50,0,0,,20,OFF,3.1,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,51.079,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:54.000,Chamber Clean,Readbacks,,,7.50E-09,09:18.0,00:00.0,100.1,11.6,253,2,79.6,32,392.6,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,52.092,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:55.000,Chamber Clean,Readbacks,,,7.50E-09,09:17.0,00:00.0,100,11.6,253,2,79.6,32,393.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,53.124,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:56.000,Chamber Clean,Readbacks,,,7.50E-09,09:16.0,00:00.0,100,11.6,253,2,79.6,32,392.6,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,54.138,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:57.000,Chamber Clean,Readbacks,,,7.50E-09,09:15.0,00:00.0,100,11.6,253,2,79.6,32,392.8,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,55.152,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:58.000,Chamber Clean,Readbacks,,,7.50E-09,09:14.0,00:00.0,100,11.6,253,2,79.6,32,393,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,56.164,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:59.000,Chamber Clean,Readbacks,,,7.50E-09,09:13.0,00:00.0,100,11.6,253,2,79.6,32,392.7,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,57.227,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:41:00.000,Chamber Clean,Readbacks,,,7.50E-09,09:12.0,00:00.0,100.1,11.6,253,2,79.6,32,392.8,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,58.238,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:41:01.000,Chamber Clean,Readbacks,,,7.50E-09,09:11.0,00:00.0,100,11.5,253,2,79.6,32,393.4,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,59.252,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:41:02.000,Chamber Clean,Readbacks,,,7.50E-09,09:10.0,00:00.0,99.9,11.6,253,2,79.6,32,392.9,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,60.266,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:41:03.000,Chamber Clean,Readbacks,,,7.50E-09,09:09.0,00:00.0,100.1,11.6,253,2,79.6,32,393.1,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,61.314,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:41:04.000,Chamber Clean,Readbacks,,,7.50E-09,09:08.0,00:00.0,100,11.6,253,2,79.6,32,393.2,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,62.341,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:41:05.000,Chamber Clean,Readbacks,,,7.50E-09,09:07.0,00:00.0,100,11.6,253,2,79.6,32,393.2,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,63.402,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:41:06.000,Chamber Clean,Readbacks,,,7.50E-09,09:06.0,00:00.0,99.9,11.6,253,2,79.6,32,393.3,0,0,50,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,Process started  all tolerances OK,64.43401,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
